grid_id,active_atelerix,invest_atelerix,active_martes,invest_martes,active_eliomys,invest_eliomys,active_oryctolagus,invest_oryctolagus,corridors
cell_8_17,0,0,0,0,0,0,0,0,
cell_8_18,0,0,0,0,0,0,0,0,
cell_8_19,0,0,0,0,0,0,1,1,"cell_8_20,cell_7_19,cell_7_20,cell_9_20,cell_7_18"
cell_8_20,0,0,0,0,0,0,1,1,"cell_8_19,cell_7_20,cell_9_20,cell_9_21,cell_7_19"
cell_8_21,0,0,0,0,0,0,0,0,
cell_8_22,0,0,0,0,0,0,0,0,
cell_8_23,0,0,0,0,0,0,1,1,cell_7_24
cell_8_24,0,0,0,0,0,0,0,0,
cell_8_25,1,1,0,0,0,0,0,0,cell_7_24
cell_8_26,0,0,0,0,0,0,0,0,
cell_8_27,0,0,0,0,0,0,0,0,
cell_8_28,0,0,0,0,0,0,0,0,
cell_8_29,0,0,0,0,0,0,0,0,
cell_8_30,0,0,0,0,0,0,0,0,
cell_8_31,0,0,0,0,0,0,0,0,
cell_8_32,0,0,0,0,0,0,0,0,
cell_8_33,0,0,0,0,0,0,0,0,
cell_8_34,0,0,0,0,0,0,0,0,
cell_8_35,0,0,0,0,0,0,0,0,
cell_8_36,0,0,0,0,0,0,0,0,
cell_8_37,0,0,0,0,0,0,0,0,
cell_9_17,0,0,0,0,0,0,0,0,
cell_9_18,0,0,0,0,0,0,0,0,
cell_9_19,0,0,0,0,0,0,0,0,
cell_9_20,1,1,0,0,0,0,0,0,"cell_9_21,cell_8_20,cell_10_20,cell_8_19"
cell_9_21,0,0,0,0,0,0,1,1,"cell_9_20,cell_10_22,cell_8_20,cell_10_20"
cell_9_22,0,0,0,0,0,0,0,0,
cell_9_23,0,0,0,0,0,0,0,0,
cell_9_24,0,0,0,0,0,0,0,0,
cell_9_25,0,0,0,0,0,0,0,0,
cell_9_26,0,0,0,0,0,0,0,0,
cell_9_27,0,0,0,0,0,0,0,0,
cell_9_28,0,0,0,0,0,0,0,0,
cell_9_29,0,0,0,0,0,0,0,0,
cell_9_30,0,0,0,0,0,0,0,0,
cell_9_31,0,0,0,0,0,0,0,0,
cell_9_32,0,0,0,0,0,0,0,0,
cell_9_33,0,0,0,0,0,0,0,0,
cell_9_34,0,0,0,0,0,0,0,0,
cell_9_35,0,0,0,0,0,0,0,0,
cell_9_36,0,0,0,0,0,0,0,0,
cell_9_37,0,0,0,0,0,0,0,0,
cell_10_17,0,0,0,0,0,0,0,0,
cell_10_18,0,0,0,0,0,0,0,0,
cell_10_19,0,0,0,0,0,0,0,0,
cell_10_20,1,1,0,0,0,0,0,0,"cell_9_20,cell_11_20,cell_9_21,cell_11_21"
cell_10_21,0,0,0,0,0,0,0,0,
cell_10_22,0,0,0,0,0,0,1,1,"cell_11_22,cell_9_21,cell_11_21"
cell_10_23,0,0,0,0,0,0,0,0,
cell_10_24,1,0,1,0,1,0,1,0,
cell_10_25,0,0,0,0,0,0,0,0,
cell_10_26,0,0,0,0,0,0,0,0,
cell_10_27,0,0,0,0,0,0,0,0,
cell_10_28,0,0,0,0,0,0,0,0,
cell_10_29,0,0,0,0,0,0,0,0,
cell_10_30,0,0,0,0,0,0,0,0,
cell_10_31,0,0,0,0,0,0,0,0,
cell_10_32,0,0,0,0,0,0,0,0,
cell_10_33,0,0,0,0,0,0,0,0,
cell_10_34,0,0,0,0,0,0,0,0,
cell_10_35,0,0,0,0,0,0,0,0,
cell_10_36,0,0,0,0,0,0,0,0,
cell_10_37,0,0,0,0,0,0,0,0,
cell_11_17,0,0,0,0,0,0,0,0,
cell_11_18,0,0,0,0,0,0,0,0,
cell_11_19,0,0,0,0,0,0,0,0,
cell_11_20,0,0,0,0,1,1,0,0,"cell_11_21,cell_10_20"
